lakeid,sampledate,doc,no3no2,totpf,totpuf,flagdoc,flagno3no2,flagtotpf,flagtotpuf
AL,2012-01-16,2.12,26,8,10,,,,
AL,2012-01-16,,,,,,,,
AL,2012-01-16,,,,,,,,
AL,2012-01-16,,,,,,,,
AL,2012-01-16,,,,,,,,
AL,2012-01-16,,,,,,,,
AL,2012-01-16,,,,,,,,
AL,2012-01-16,3.88,26,6,6,,,,
AL,2012-01-16,,,,,,,,
AL,2012-01-16,3.95,31,5,11,,,,
AL,2012-02-23,1.49,22,8,10,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,3.40,76,7,10,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,,,,,,,,
AL,2012-02-23,3.40,69,16,7,,,,
AL,2012-04-03,3.64,97,0,0,,,X,LX
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,3.44,107,0,7,,,X,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,,,,,,,,
AL,2012-04-03,3.34,89,0,12,,,X,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-16,,,,,,,,
AL,2012-04-30,3.87,2,1,10,,,X,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,3.77,5,1,10,,,X,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,,,,,,,,
AL,2012-04-30,3.77,2,0,7,,,X,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-14,,,,,,,,
AL,2012-05-29,4.19,4,0,0,,K,X,X
AL,2012-05-29,,,,,,,,
AL,2012-05-29,,,,,,,,
AL,2012-05-29,,,,,,,,
AL,2012-05-29,,,,,,,,
AL,2012-05-29,,,,,,,,
AL,2012-05-29,,,,,,,,
AL,2012-05-29,,,,,,,,
AL,2012-05-29,4.19,3,0,0,,K,X,X
AL,2012-05-29,,,,,,,,
AL,2012-05-29,,,,,,,,
AL,2012-05-29,,,,,,,,
AL,2012-05-29,3.82,32,0,0,,K,X,X
AL,2012-05-29,,,,,,,,
AL,2012-05-29,3.66,20,0,11,,K,X,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-11,,,,,,,,
AL,2012-06-26,4.50,3,0,0,,N,X,X
AL,2012-06-26,,,,,,,,
AL,2012-06-26,,,,,,,,
AL,2012-06-26,,,,,,,,
AL,2012-06-26,3.93,1,0,3,,NX,X,E
AL,2012-06-26,,,,,,,,
AL,2012-06-26,,,,,,,,
AL,2012-06-26,,,,,,,,
AL,2012-06-26,,,,,,,,
AL,2012-06-26,,,,,,,,
AL,2012-06-26,,,,,,,,
AL,2012-06-26,,,,,,,,
AL,2012-06-26,3.53,4,0,0,,N,X,X
AL,2012-06-26,,,,,,,,
AL,2012-06-26,3.31,8,3,74,,N,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-10,,,,,,,,
AL,2012-07-25,4.12,9,0,6,,N,X,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,4.17,1,0,8,,NX,X,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,,,,,,,,
AL,2012-07-25,3.48,7,6,18,,NL,N,N
AL,2012-07-25,3.92,5,22,154,,N,N,N
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-06,,,,,,,,
AL,2012-08-20,3.70,0,9,21,,X,N,N
AL,2012-08-20,,,,,,,,
AL,2012-08-20,,,,,,,,
AL,2012-08-20,,,,,,,,
AL,2012-08-20,,,,,,,,
AL,2012-08-20,,,,,,,,
AL,2012-08-20,,,,,,,,
AL,2012-08-20,,,,,,,,
AL,2012-08-20,3.70,0,0,2,,X,X,X
AL,2012-08-20,,,,,,,,
AL,2012-08-20,,,,,,,,
AL,2012-08-20,,,,,,,,
AL,2012-08-20,3.43,2,0,2,,E,X,X
AL,2012-08-20,,,,,,,,
AL,2012-08-20,3.90,1,216,205,,X,N,N
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-04,,,,,,,,
AL,2012-09-19,3.92,5,0,1,G,,X,X
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,3.60,5,0,3,G,,X,E
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,,,,,,,,
AL,2012-09-19,3.90,4,0,2,G,,X,X
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-01,,,,,,,,
AL,2012-10-18,3.84,43,11,16,,,,E
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,3.96,49,11,18,,E,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,,,,,,,,
AL,2012-10-18,3.64,68,11,20,,L,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-01,,,,,,,,
AL,2012-11-09,3.57,70,11,21,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,3.38,71,11,19,,E,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,,,,,,,,
AL,2012-11-09,3.51,70,11,15,,,,
AL,2013-01-25,2.95,47,8,11,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,3.55,82,8,13,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,,,,,,,,
AL,2013-01-25,3.86,58,15,25,,,,
AL,2013-02-25,1.56,27,2,3,,,X,
AL,2013-02-25,,,,,,,,
AL,2013-02-25,,,,,,,,
AL,2013-02-25,,,,,,,,
AL,2013-02-25,,,,,,,,
AL,2013-02-25,,,,,,,,
AL,2013-02-25,,,,,,,,
AL,2013-02-25,3.54,91,4,7,,,,
AL,2013-02-25,,,,,,,,
AL,2013-02-25,,,,,,,,
AL,2013-02-25,5.21,69,33,114,,,,
AL,2013-03-27,10.90,29,2,2,,,X,NLX
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,14.93,184,4,11,,,E,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,,,,,,,,
AL,2013-03-27,21.00,87,21,30,,E,,
AL,2013-05-14,3.08,99,14,18,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,3.02,101,13,20,,E,E,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,,,,,,,,
AL,2013-05-14,3.00,117,13,21,,,,
AL,2013-05-28,,,,,,,,
AL,2013-05-28,,,,,,,,
AL,2013-05-28,,,,,,,,
AL,2013-05-28,,,,,,,,
AL,2013-05-28,,,,,,,,
AL,2013-05-28,,,,,,,,
AL,2013-05-28,,,,,,,,
AL,2013-05-28,,,,,,,,
AL,2013-06-10,7.14,13,0,2,,,X,X
AL,2013-06-10,,,,,,,,
AL,2013-06-10,,,,,,,,
AL,2013-06-10,,,,,,,,
AL,2013-06-10,4.33,13,0,3,,E,X,E
AL,2013-06-10,,,,,,,,
AL,2013-06-10,,,,,,,,
AL,2013-06-10,,,,,,,,
AL,2013-06-10,4.47,17,0,1,,,X,X
AL,2013-06-10,,,,,,,,
AL,2013-06-10,,,,,,,,
AL,2013-06-10,,,,,,,,
AL,2013-06-10,,,,,,,,
AL,2013-06-10,3.66,21,11,38,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-06-26,,,,,,,,
AL,2013-07-11,4.93,5,4,15,,,,N
AL,2013-07-11,,,,,,,,
AL,2013-07-11,,,,,,,,
AL,2013-07-11,,,,,,,,
AL,2013-07-11,4.58,5,10,18,,,,N
AL,2013-07-11,,,,,,,,
AL,2013-07-11,,,,,,,,
AL,2013-07-11,,,,,,,,
AL,2013-07-11,4.02,10,1,7,,,X,
AL,2013-07-11,,,,,,,,
AL,2013-07-11,,,,,,,,
AL,2013-07-11,,,,,,,,
AL,2013-07-11,,,,,,,,
AL,2013-07-11,3.42,13,13,31,,,,
AL,2013-07-22,,,,,,,,
AL,2013-07-22,,,,,,,,
AL,2013-07-22,,,,,,,,
AL,2013-07-22,,,,,,,,
AL,2013-07-22,,,,,,,,
AL,2013-07-22,,,,,,,,
AL,2013-07-22,,,,,,,,
AL,2013-07-22,,,,,,,,
AL,2013-08-07,4.84,26,5,13,,NL,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,4.69,1,5,10,,EX,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,,,,,,,,
AL,2013-08-07,3.23,22,4,12,,,,
AL,2013-08-07,3.52,2,17,54,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-08-19,,,,,,,,
AL,2013-09-03,4.54,26,10,15,,NL,,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,4.46,16,11,16,,,E,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,,,,,,,,
AL,2013-09-03,3.98,66,14,62,,,,N
AL,2013-09-03,,,,,,,,
AL,2013-09-03,3.84,6,19,45,,,,
AL,2013-09-18,,,,,,,,
AL,2013-09-18,,,,,,,,
AL,2013-09-18,,,,,,,,
AL,2013-09-18,,,,,,,,
AL,2013-09-18,,,,,,,,
AL,2013-09-18,,,,,,,,
AL,2013-09-18,,,,,,,,
AL,2013-09-18,,,,,,,,
AL,2013-10-01,4.25,1,8,17,,EX,N,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,4.26,1,8,14,,X,E,
AL,2013-10-01,,,,,,,,
AL,2013-10-01,3.18,1,42,91,,X,N,
AL,2013-10-14,,,,,,,,
AL,2013-10-14,,,,,,,,
AL,2013-10-14,,,,,,,,
AL,2013-10-14,,,,,,,,
AL,2013-10-14,,,,,,,,
AL,2013-10-14,,,,,,,,
AL,2013-10-14,,,,,,,,
AL,2013-10-14,,,,,,,,
AL,2013-10-30,4.63,1,8,15,,EX,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,4.61,2,7,15,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,,,,,,,,
AL,2013-10-30,5.22,16,7,14,,,,
AL,2013-11-07,5.34,0,7,14,,X,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,5.11,1,6,15,,X,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,,,,,,,,
AL,2013-11-07,5.39,5,6,13,,E,,
AL,2014-01-17,3.41,32,6,8,,E,,
AL,2014-01-17,,,,,,,,
AL,2014-01-17,,,,,,,,
AL,2014-01-17,,,,,,,,
AL,2014-01-17,,,,,,,,
AL,2014-01-17,,,,,,,,
AL,2014-01-17,,,,,,,,
AL,2014-01-17,4.27,42,5,6,,L,,
AL,2014-01-17,,,,,,,,
AL,2014-01-17,,,,,,,,
AL,2014-01-17,3.76,46,22,31,,,,
AL,2014-03-18,3.18,94,9,13,,,,E
AL,2014-03-18,,,,,,,,
AL,2014-03-18,,,,,,,,
AL,2014-03-18,,,,,,,,
AL,2014-03-18,,,,,,,,
AL,2014-03-18,,,,,,,,
AL,2014-03-18,,,,,,,,
AL,2014-03-18,4.17,44,34,53,,L,L,L
AL,2014-03-18,,,,,,,,
AL,2014-03-18,,,,,,,,
AL,2014-03-18,,,,,,,,
AL,2014-03-18,4.29,178,7,9,,,,
AL,2014-03-27,2.31,43,9,11,,,,
AL,2014-03-27,,,,,,,,
AL,2014-03-27,,,,,,,,
AL,2014-03-27,,,,,,,,
AL,2014-03-27,,,,,,,,
AL,2014-03-27,,,,,,,,
AL,2014-03-27,4.47,196,7,9,,,N,EN
AL,2014-03-27,,,,,,,,
AL,2014-03-27,,,,,,,,
AL,2014-03-27,4.18,278,12,17,,E,N,N
AL,2014-05-20,4.94,1,9,17,,EX,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,4.29,27,10,21,,,,L
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,,,,,,,,
AL,2014-05-20,4.29,82,13,29,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-02,,,,,,,,
AL,2014-06-17,5.29,10,8,17,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,5.31,6,8,13,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,5.16,7,9,11,,L,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,,,,,,,,
AL,2014-06-17,3.98,31,15,24,,,E,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-02,,,,,,,,
AL,2014-07-14,5.48,3,8,13,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,5.64,4,8,12,,E,,E
AL,2014-07-14,,,,,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,,,,,,,,
AL,2014-07-14,4.22,2,10,31,,,,L
AL,2014-07-14,,,,,,,,
AL,2014-07-14,4.54,1,67,136,,X,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-07-30,,,,,,,,
AL,2014-08-12,5.29,1,1,2,,X,X,X
AL,2014-08-12,,,,,,,,
AL,2014-08-12,,,,,,,,
AL,2014-08-12,,,,,,,,
AL,2014-08-12,,,,,,,,
AL,2014-08-12,,,,,,,,
AL,2014-08-12,,,,,,,,
AL,2014-08-12,,,,,,,,
AL,2014-08-12,5.17,1,1,2,,X,EX,X
AL,2014-08-12,,,,,,,,
AL,2014-08-12,,,,,,,,
AL,2014-08-12,,,,,,,,
AL,2014-08-12,3.85,11,2,6,,NL,X,
AL,2014-08-12,4.02,8,9,31,,N,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-08-26,,,,,,,,
AL,2014-09-08,4.79,3,10,15,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,4.67,3,10,14,,E,E,E
AL,2014-09-08,,,,,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,,,,,,,,
AL,2014-09-08,3.52,3,36,34,,,,
AL,2014-09-08,5.94,24,228,238,,L,L,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-09-24,,,,,,,,
AL,2014-10-06,4.69,9,11,24,,,E,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,5.17,10,14,24,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,,,,,,,,
AL,2014-10-06,5.18,14,11,20,,E,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-10-21,,,,,,,,
AL,2014-11-03,4.89,33,8,18,,,E,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,4.92,33,9,21,,,,L
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,,,,,,,,
AL,2014-11-03,5.39,33,7,17,,,,
AL,2015-01-19,2.48,49,8,12,,,,
AL,2015-01-19,,,,,,,,
AL,2015-01-19,,,,,,,,
AL,2015-01-19,,,,,,,,
AL,2015-01-19,,,,,,,,
AL,2015-01-19,,,,,,,,
AL,2015-01-19,4.49,102,5,6,,,,
AL,2015-01-19,,,,,,,,
AL,2015-01-19,,,,,,,,
AL,2015-01-19,4.08,37,83,100,,E,E,
AL,2015-02-24,2.47,69,8,9,,,,
AL,2015-02-24,,,,,,,,
AL,2015-02-24,,,,,,,,
AL,2015-02-24,,,,,,,,
AL,2015-02-24,,,,,,,,
AL,2015-02-24,,,,,,,,
AL,2015-02-24,,,,,,,,
AL,2015-02-24,4.65,239,7,7,,,,
AL,2015-02-24,,,,,,,,
AL,2015-02-24,,,,,,,,
AL,2015-02-24,4.36,4,86,201,,NL,L,
AL,2015-03-23,4.36,68,7,9,J,,,
AL,2015-03-23,,,,,,,,
AL,2015-03-23,,,,,,,,
AL,2015-03-23,,,,,,,,
AL,2015-03-23,,,,,,,,
AL,2015-03-23,,,,,,,,
AL,2015-03-23,,,,,,,,
AL,2015-03-23,5.08,308,19,16,J,,,
